2026-02-21 16:37:30, HAV=0.00, HMF=0.00, WB_NO=0.000, TOTAL=0
2026-02-21 16:37:30, HAV=50.24, HMF=0.00, WB_NO=0.000, TOTAL=0
2026-02-21 16:37:31, HAV=38.59, HMF=0.00, WB_NO=0.000, TOTAL=0
2026-02-21 16:37:32, HAV=79.72, HMF=0.00, WB_NO=0.000, TOTAL=0
2026-02-21 16:37:33, HAV=30.04, HMF=0.00, WB_NO=0.000, TOTAL=0
2026-02-21 16:37:34, EVENT=1, TOTAL=1
2026-02-21 16:37:34, HAV=17.77, HMF=1.00, WB_NO=1.000, TOTAL=1
2026-02-21 16:37:34, EVENT=1, TOTAL=2
2026-02-21 16:37:35, HAV=16.87, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:36, HAV=14.93, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:36, HAV=31.69, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:37, HAV=17.45, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:38, HAV=25.23, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:39, HAV=22.53, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:40, HAV=28.64, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:41, HAV=578.07, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:41, HAV=1376.64, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:42, HAV=530.65, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:43, HAV=320.05, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:44, HAV=922.48, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:45, HAV=566.86, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:46, HAV=231.26, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:46, HAV=3432.23, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:47, HAV=59.26, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:48, HAV=69.17, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:49, HAV=88.17, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:50, HAV=78.91, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:51, HAV=46.34, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:51, HAV=71.79, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:52, HAV=142.68, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:53, HAV=202.87, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:54, HAV=147.27, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:55, HAV=66.94, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:56, HAV=70.03, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:57, HAV=74.17, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:57, HAV=28.41, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:58, HAV=47.36, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:37:59, HAV=213.42, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:38:00, HAV=43.30, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:38:01, HAV=43.46, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:38:02, HAV=93.79, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:38:02, HAV=441.07, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:38:03, HAV=505.10, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:38:04, HAV=3171.83, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:38:05, HAV=462.72, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:38:06, HAV=43.16, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:38:07, HAV=2864.09, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:38:08, HAV=3701.25, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:38:16, HAV=3903.99, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:38:16, HAV=341.18, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:38:17, HAV=271.68, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:38:18, HAV=200.78, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:38:19, HAV=1918.73, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:38:20, HAV=3287.88, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:38:21, HAV=3404.84, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:38:22, HAV=95.92, HMF=2.00, WB_NO=2.000, TOTAL=2
2026-02-21 16:38:23, HAV=1155.79, HMF=0.00, WB_NO=0.000, TOTAL=2
2026-02-21 16:38:24, HAV=193.14, HMF=0.00, WB_NO=0.000, TOTAL=2
2026-02-21 16:38:25, HAV=1020.99, HMF=0.00, WB_NO=0.000, TOTAL=2
2026-02-21 16:38:39, HAV=3048.25, HMF=0.00, WB_NO=0.000, TOTAL=2
2026-02-21 16:38:40, HAV=146.48, HMF=0.00, WB_NO=0.000, TOTAL=2
2026-02-21 16:38:41, HAV=2172.88, HMF=0.00, WB_NO=0.000, TOTAL=2
2026-02-21 16:38:44, HAV=3177.10, HMF=0.00, WB_NO=0.000, TOTAL=2
2026-02-21 16:38:45, HAV=176.89, HMF=0.00, WB_NO=0.000, TOTAL=2
